연도,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
서울,9324,9741,10125,10306,10729,11667,12009,12432,13012,13511,14024,14532,14965,15392,15790,16064,16212,16405,16761,17144,17301,17282,17256,17212,17154,17073,16836,16706,16599,16574,16645,16652,16583,16597,16614,16576,16624,16642,16714,16758,16667,16643,16583,16507,16482,16425,16263,16136,16023,15956,15891,15709,15567,15533,15521
부산,6023,6338,6083,6362,6674,6979,7325,8337,6941,7322,7648,7854,8006,8123,8243,8349,8447,8560,8659,7231,7185,7208,7240,7229,7241,5144,5106,5065,5012,4949,4912,4877,4830,4782,4750,4699,4658,4619,4588,4566,4531,4524,4498,4489,4485,4484,4477,4447,4420,4391,4358,4328,4282,4258,4232
대구,0,0,0,0,0,0,0,0,0,0,0,4265,4384,4498,4595,4679,4748,4822,4894,4974,5032,5117,5201,5281,5354,2795,2811,2819,2826,2836,2855,2862,2857,2858,2859,2838,2817,2809,2807,2807,2805,2810,2807,2802,2801,2794,2786,2782,2772,2758,2733,2711,2679,2666,2659
인천,0,0,0,0,0,0,0,0,0,0,0,6534,6764,6991,7295,7459,7696,7904,8207,5695,5980,5902,6095,6344,6604,2444,2485,2528,2572,2602,2615,2603,2608,2607,2589,2597,2601,2622,2662,2629,2645,2668,2684,2718,2732,2748,2736,2750,2761,2777,2770,2766,2788,2820,2851
광주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4938,4967,2154,2196,2246,2305,2365,2425,2482,2541,2578,2628,2675,2715,2757,2798,2838,2858,2884,2885,2891,2907,2925,2952,2980,2997,3000,3000,3002,3005,2997,2984,2970,2972,2952,2945,2933,2921,2905
대전,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1867,1929,2017,2109,2204,2287,2384,2436,2481,2516,2552,2588,2625,2655,2691,2705,2722,2743,2767,2780,2793,2806,2830,2852,2860,2879,2860,2848,2832,2805,2786,2764,2747,2728,2731,2729
울산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,969,972,980,991,1001,1005,1010,1014,1018,1021,1032,1038,1038,1049,1061,1073,1085,1097,1099,1092,1086,1079,1072,1059,1048,1041,1038
세종,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,255,285,403,504,571,650,709,749,777,818,833,837
경기,318,330,338,347,359,371,387,404,420,438,454,356,371,391,413,433,460,487,506,528,554,584,616,648,682,765,803,834,857,877,902,932,969,1002,1028,1049,1071,1091,1112,1126,1143,1163,1177,1192,1207,1221,1237,1255,1279,1299,1319,1335,1342,1351,1359
강원,115,115,114,114,113,112,112,111,110,109,108,108,107,106,105,103,102,100,98,95,92,92,91,90,89,90,90,90,91,91,91,91,91,90,90,90,89,89,89,89,89,89,90,89,90,90,90,90,90,90,90,90,91,91,90
충북,205,207,206,207,207,208,206,203,201,198,195,195,194,193,190,189,188,187,186,185,185,186,187,188,189,190,193,195,198,200,201,202,201,201,201,200,200,201,203,204,205,208,210,211,213,215,216,217,218,220,220,220,219,220,220
충남,335,338,340,340,341,342,342,343,342,343,342,344,345,344,343,343,342,342,342,243,239,234,229,223,218,209,210,213,216,218,219,219,218,218,220,223,226,229,234,236,241,244,249,251,254,256,258,262,265,265,264,264,265,267,270
전북,310,311,311,311,311,310,306,302,297,293,290,288,287,285,280,276,272,267,263,258,254,251,249,245,242,239,239,239,239,240,239,238,235,232,229,226,224,222,222,222,223,224,225,226,227,227,227,227,226,225,224,222,220,219,218
전남,340,340,340,338,337,335,332,328,324,320,316,316,316,314,311,309,224,220,220,215,210,203,196,189,182,175,174,173,172,172,170,168,163,160,156,153,151,149,147,146,145,145,145,145,146,146,146,146,146,145,145,144,144,143,142
경북,236,239,242,244,247,249,251,251,252,253,254,162,160,158,155,152,150,147,145,143,141,141,140,140,139,142,143,144,145,146,146,145,144,142,140,139,139,139,139,138,138,139,140,140,140,141,141,141,141,140,139,139,138,137,136
경남,259,261,262,264,266,268,269,272,275,276,278,280,284,288,291,292,293,293,295,300,303,309,314,320,325,336,341,283,285,287,289,290,292,294,295,296,297,298,301,303,305,308,310,311,314,316,317,317,318,318,317,314,312,310,308
제주,205,211,215,221,226,230,236,242,247,253,258,262,265,268,269,270,271,272,273,275,279,279,280,280,280,277,278,280,281,283,284,286,289,290,292,293,294,294,294,295,296,300,303,308,315,324,334,343,354,359,361,363,365,366,365
수도권,798,831,857,881,915,952,993,1035,1075,1120,1160,1197,1239,1284,1330,1368,1405,1445,1486,1528,1568,1599,1634,1668,1704,1748,1771,1794,1812,1831,1858,1885,1914,1942,1964,1981,2003,2024,2048,2061,2070,2088,2099,2111,2124,2134,2139,2149,2164,2179,2193,2196,2197,2206,2215
