연도,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
서울,5686,5940,6207,6470,6738,7005,7301,7599,7900,8205,8516,8796,9059,9317,9559,9725,9815,9932,10147,10379,10473,10461,10446,10420,10385,10342,10195,10116,10051,10036,10078,10091,10049,10041,10052,10029,10057,10069,10112,10139,10089,10072,10036,9990,9975,9941,9843,9766,9697,9657,9618,9508,9421,9400,9394
부산,2046,2155,2270,2386,2505,2625,2757,2890,3026,3166,3309,3400,3469,3527,3580,3628,3671,3725,3773,3803,3803,3817,3829,3839,3846,3852,3826,3803,3775,3752,3733,3716,3685,3649,3624,3590,3563,3538,3514,3497,3477,3476,3462,3456,3452,3452,3447,3424,3403,3381,3356,3334,3303,3284,3265
대구,0,0,0,0,0,0,0,0,0,0,0,1940,1995,2047,2091,2129,2162,2196,2230,2267,2293,2332,2371,2408,2442,2475,2489,2496,2502,2512,2529,2535,2531,2532,2533,2509,2490,2484,2481,2482,2480,2483,2480,2476,2475,2469,2461,2458,2449,2437,2414,2396,2372,2360,2354
인천,0,0,0,0,0,0,0,0,0,0,0,1315,1366,1412,1474,1541,1593,1647,1710,1785,1897,1979,2065,2153,2243,2334,2376,2421,2464,2494,2522,2551,2572,2573,2571,2581,2607,2643,2689,2700,2723,2755,2794,2830,2862,2883,2907,2924,2936,2952,2951,2950,2975,3009,3049
광주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,1069,1079,1100,1125,1154,1185,1215,1244,1274,1292,1317,1341,1361,1382,1402,1422,1432,1445,1445,1448,1456,1465,1479,1494,1502,1504,1504,1505,1506,1502,1495,1488,1489,1480,1476,1470,1463,1456
대전,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,1036,1084,1133,1183,1235,1287,1315,1339,1358,1378,1397,1418,1434,1453,1461,1470,1481,1494,1501,1508,1515,1528,1540,1545,1553,1542,1536,1528,1513,1503,1492,1482,1472,1474,1473
울산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,1023,1027,1036,1047,1057,1062,1067,1071,1076,1079,1092,1098,1099,1112,1125,1137,1151,1164,1166,1159,1153,1146,1139,1125,1114,1106,1103
세종,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,118,132,187,234,266,302,329,348,361,380,387,389
경기,3440,3571,3703,3836,3970,4106,4282,4461,4644,4832,5028,3876,4023,4247,4480,4697,5001,5291,5499,5691,5972,6294,6634,6988,7356,7738,8132,8449,8682,8893,9146,9451,9814,10149,10416,10625,10853,11057,11267,11413,11619,11825,11974,12126,12282,12423,12600,12786,13027,13241,13452,13611,13690,13781,13861
강원,1914,1914,1912,1908,1902,1893,1881,1869,1854,1839,1824,1820,1814,1796,1766,1740,1721,1692,1653,1607,1562,1547,1532,1516,1499,1482,1483,1489,1502,1513,1516,1517,1510,1501,1497,1489,1482,1476,1480,1485,1489,1498,1504,1506,1510,1517,1521,1521,1521,1520,1519,1520,1527,1525,1518
충북,1516,1525,1532,1537,1542,1546,1529,1511,1491,1470,1450,1446,1441,1432,1416,1403,1397,1390,1381,1373,1374,1383,1392,1400,1406,1412,1431,1452,1469,1483,1494,1499,1496,1491,1491,1485,1487,1494,1509,1517,1524,1545,1553,1565,1578,1589,1601,1609,1618,1629,1631,1626,1623,1627,1630
충남,2927,2948,2963,2976,2986,2997,3002,3005,3007,3009,3011,3025,3035,3038,3030,3027,3030,3029,3024,2018,1992,1949,1908,1866,1825,1784,1804,1831,1854,1870,1879,1882,1877,1872,1892,1918,1943,1973,2013,2040,2078,2108,2043,2062,2088,2103,2126,2153,2177,2189,2177,2175,2186,2204,2224
전북,2491,2501,2505,2505,2502,2498,2468,2435,2401,2365,2329,2318,2312,2291,2255,2221,2188,2153,2116,2080,2047,2022,1999,1974,1948,1922,1923,1923,1925,1930,1927,1916,1896,1871,1843,1817,1801,1792,1788,1792,1796,1809,1817,1821,1829,1835,1835,1829,1823,1812,1806,1792,1777,1768,1759
전남,4101,4102,4096,4083,4068,4051,4013,3974,3932,3889,3848,3850,3853,3840,3809,3781,2701,2659,2599,2539,2480,2396,2315,2237,2161,2089,2077,2065,2061,2055,2035,2012,1963,1929,1881,1851,1830,1806,1794,1785,1777,1779,1782,1784,1792,1797,1798,1795,1796,1793,1793,1785,1775,1768,1757
경북,4669,4732,4789,4840,4888,4936,4963,4986,5006,5025,5045,3139,3111,3067,3008,2954,2907,2867,2823,2774,2736,2732,2728,2722,2713,2702,2724,2745,2759,2771,2773,2757,2737,2705,2670,2652,2653,2643,2639,2634,2630,2645,2656,2661,2671,2678,2683,2675,2675,2671,2652,2641,2626,2611,2597
경남,3078,3110,3136,3159,3181,3204,3223,3240,3256,3273,3292,3320,3363,3409,3445,3466,3469,3477,3499,3527,3570,3635,3700,3764,3827,3888,3942,2975,3000,3020,3036,3048,3070,3095,3102,3110,3123,3137,3166,3192,3217,3245,3265,3278,3307,3330,3338,3339,3351,3350,3340,3315,3287,3267,3249
제주,374,384,393,402,410,419,430,440,450,461,472,479,484,489,492,493,495,496,499,502,509,510,510,511,512,512,514,516,519,522,524,529,534,537,539,542,544,543,544,546,548,554,561,570,583,599,618,635,655,664,669,672,675,677,675
수도권,9126,9511,9910,10306,10708,11111,11583,12060,12544,13037,13544,13987,14447,14977,15514,15963,16409,16870,17356,17855,18342,18735,19146,19561,19984,20414,20703,20986,21198,21423,21747,22093,22435,22764,23038,23235,23517,23768,24067,24252,24431,24652,24805,24946,25119,25247,25350,25476,25660,25851,26021,26069,26086,26190,26304
